Run: 001
 Times,Y   ,X1   ,X2   ,RC_ReactionN   ,RC_Reaction1   ,RC_Reaction2   ,ReactionFired
 0.1861516978    ,2    ,32    ,20    ,0    ,6    ,4    ,Reaction1
 0.1873081885    ,1    ,32    ,19    ,0    ,6    ,5    ,Reaction2
 0.2057828546    ,0    ,32    ,18    ,0    ,6    ,6    ,Reaction2
 0.2332038031    ,1    ,31    ,18    ,0    ,7    ,6    ,Reaction1
 0.2426355114    ,0    ,31    ,17    ,0    ,7    ,7    ,Reaction2
 0.2550065933    ,1    ,30    ,17    ,0    ,8    ,7    ,Reaction1
 0.2625881448    ,0    ,30    ,16    ,0    ,8    ,8    ,Reaction2
 0.3218635273    ,1    ,29    ,16    ,0    ,9    ,8    ,Reaction1
 0.3577779565    ,2    ,28    ,16    ,0    ,10    ,8    ,Reaction1
 0.4340467300    ,1    ,28    ,15    ,0    ,10    ,9    ,Reaction2
 0.4578673861    ,2    ,27    ,15    ,0    ,11    ,9    ,Reaction1
 0.4614722453    ,1    ,27    ,14    ,0    ,11    ,10    ,Reaction2
 0.4621845902    ,2    ,26    ,14    ,0    ,12    ,10    ,Reaction1
 0.5211378285    ,3    ,25    ,14    ,0    ,13    ,10    ,Reaction1
 0.5529473490    ,2    ,25    ,13    ,0    ,13    ,11    ,Reaction2
 0.5803207080    ,3    ,24    ,13    ,0    ,14    ,11    ,Reaction1
 0.5924927090    ,4    ,23    ,13    ,0    ,15    ,11    ,Reaction1
 0.5964621459    ,3    ,23    ,12    ,0    ,15    ,12    ,Reaction2
 0.6228579882    ,4    ,22    ,12    ,0    ,16    ,12    ,Reaction1
 0.6454412249    ,2    ,22    ,12    ,1    ,16    ,12    ,ReactionN
 0.6464737139    ,1    ,22    ,11    ,1    ,16    ,13    ,Reaction2
 0.6617044959    ,0    ,22    ,10    ,1    ,16    ,14    ,Reaction2
 0.6793673899    ,1    ,21    ,10    ,1    ,17    ,14    ,Reaction1
 0.6816747117    ,2    ,20    ,10    ,1    ,18    ,14    ,Reaction1
 0.7032982513    ,1    ,20    ,9    ,1    ,18    ,15    ,Reaction2
 0.7327160948    ,2    ,19    ,9    ,1    ,19    ,15    ,Reaction1
 0.8310527836    ,3    ,18    ,9    ,1    ,20    ,15    ,Reaction1
 0.8597659380    ,1    ,18    ,9    ,2    ,20    ,15    ,ReactionN
 0.8849640549    ,0    ,18    ,8    ,2    ,20    ,16    ,Reaction2
 0.8880122151    ,1    ,17    ,8    ,2    ,21    ,16    ,Reaction1
 0.8938264662    ,0    ,17    ,7    ,2    ,21    ,17    ,Reaction2
 0.9164019413    ,1    ,16    ,7    ,2    ,22    ,17    ,Reaction1
 1.1082063473    ,2    ,15    ,7    ,2    ,23    ,17    ,Reaction1
 1.1281251506    ,0    ,15    ,7    ,3    ,23    ,17    ,ReactionN
 1.1837157758    ,1    ,14    ,7    ,3    ,24    ,17    ,Reaction1
 1.2630237445    ,2    ,13    ,7    ,3    ,25    ,17    ,Reaction1
 1.3664303872    ,3    ,12    ,7    ,3    ,26    ,17    ,Reaction1
 1.3863583458    ,4    ,11    ,7    ,3    ,27    ,17    ,Reaction1
 1.3946559607    ,3    ,11    ,6    ,3    ,27    ,18    ,Reaction2
